Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Testcase Result),Custom field (Text Level),Custom field (Text Steps),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
SC-Edit account&& Account login-when changing password re-login with new password,N2-57,10292,Story,Done,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,Done,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:57 AM,05/Jan/23 10:57 AM,15/Mar/23 10:49 PM,05/Jan/23 10:57 AM,,0,AccountLogin,EditAccount,"when changing password re-login with new password

test data:”

mật khẩu mới 1:

”",,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,successfully logged in with new password,,,,,,,,,,,,,,successfully logged in with new password,,,,,0|i001s7:,,N2 Sprint 1,,,,,,,,Pass,System,"1)change passwrod in Edit account
2) log out
3) login accout",,,Done
EA39-Verify password field - Cannot be left blank,N2-56,10291,Story,Done,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,Done,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:50 AM,05/Jan/23 3:06 PM,05/Jan/23 3:05 PM,05/Jan/23 10:51 AM,,0,EditAccount,,,,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"show error message""vui lòng điền vào ô này""",,,,,,,,,,N2-3,Edit account,,,"show error message""vui lòng điền vào ô này""",,,,,0|i001rz:,,,,,,,,,,Pass,Unit,"1)leave field blank
2)click button",,,Done
EA38 - Verify email -cannot be left blank,N2-55,10290,Story,Done,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,Done,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:49 AM,05/Jan/23 3:05 PM,05/Jan/23 3:04 PM,05/Jan/23 10:51 AM,,0,EditAccount,,,,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"show error message""vui lòng điền vào ô này""",,,,,,,,,,N2-3,Edit account,,,"show error message""vui lòng điền vào ô này""",,,,,0|i001rr:,,,,,,,,,,Pass,Unit,"1)leave field blank
2)click button",,,Done
AL37 - Verify password field - cannot be left blank,N2-54,10289,Story,Done,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,Done,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:47 AM,05/Jan/23 3:04 PM,05/Jan/23 3:03 PM,05/Jan/23 10:48 AM,,0,AccountLogin,,,,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"show error message""vui lòng điền vào ô này""",,,,,,,,,,N2-2,Account login,,,"show error message""vui lòng điền vào ô này""",,,,,0|i001rj:,,,,,,,,,,Pass,Unit,"1)leave field blank
2)click button",,,Done
IPF11 - Register an account - input Email special characters,N2-53,10288,Story,To Do,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,05/Jan/23 10:46 AM,05/Jan/23 10:50 AM,22/Mar/23 4:28 PM,,,0,RegisterAnAccount,,Request to enter email information,,Công Vũ,62999f181648f2006963b487,,,,,,,,,An error message was displayed,,,,,,,,,,,,,,show error message: 'Invalid email',,,,,0|i001rb:,,N2 Sprint 1,,,,,,,,Pass,Integration,"1)Enter special characters last your email

2)click button('Đăng ký')",,,To Do
AL36- Verify phone number - cannot be left blank,N2-52,10287,Story,Done,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,Done,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:45 AM,05/Jan/23 3:03 PM,05/Jan/23 3:03 PM,05/Jan/23 10:47 AM,,0,AccountLogin,,,,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"show error message""vui lòng điền vào ô này""",,,,,,,,,,N2-2,Account login,,,"show error message""vui lòng điền vào ô này""",,,,,0|i001r3:,,,,,,,,,,Pass,Unit,"1)leave field blank
2)click button",,,Done
RA35 - Verify password field - cannot be left blank,N2-51,10286,Story,Done,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,Done,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:44 AM,05/Jan/23 3:03 PM,05/Jan/23 3:03 PM,05/Jan/23 10:44 AM,,0,RegisterAnAccount,,,,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"show error message""vui lòng điền vào ô này""",,,,,,,,,,N2-1,Register an account,,,"show error message""vui lòng điền vào ô này""",,,,,0|i001qv:,,,,,,,,,,Pass,Unit,"1)leave field blank
2)click button",,,Done
RA34  -Verify first and last name field-cannot be left blank,N2-50,10285,Story,Done,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,Done,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:43 AM,05/Jan/23 3:02 PM,05/Jan/23 3:01 PM,05/Jan/23 10:45 AM,,0,RegisterAnAccount,,,,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"show error message""vui lòng điền vào ô này""",,,,,,,,,,N2-1,Register an account,,,"show error message""vui lòng điền vào ô này""",,,,,0|i001qn:,,,,,,,,,,Pass,Unit,"1)leave field blank
2)click button",,,Done
RA33 - Verify email field - cannot be left blank,N2-49,10284,Story,Done,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,Done,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:42 AM,05/Jan/23 3:00 PM,05/Jan/23 2:59 PM,05/Jan/23 10:45 AM,,0,RegisterAnAccount,,,,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"show error message""vui lòng điền vào ô này""",,,,,,,,,,N2-1,Register an account,,,"show error message""vui lòng điền vào ô này""",,,,,0|i001qf:,,,,,,,,,,Pass,Unit,"1)leave field blank
2)click button",,,Done
RA32 - Verify phone number field - cannot be left blank,N2-48,10283,Story,Done,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,Done,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:41 AM,05/Jan/23 2:59 PM,05/Jan/23 2:58 PM,05/Jan/23 10:41 AM,,0,RegisterAnAccount,,,,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"show error message""vui lòng điền vào ô này""",,,,,,,,,,N2-1,Register an account,,,"show error message""vui lòng điền vào ô này""",,,,,0|i001q7:,,N2 Sprint 1,,,,,,,,Pass,Unit,"1)leave field blank
2)click button",,,Done
IPF10 - Register an account - Check Your Email,N2-47,10282,Story,To Do,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,05/Jan/23 10:38 AM,05/Jan/23 10:50 AM,22/Mar/23 4:28 PM,,,0,RegisterAnAccount,,you need to enter email information,,Công Vũ,62999f181648f2006963b487,,,,,,,,,no error message is displayed,,,,,,,,,,,,,,"show an error:""vui lòng nhập địa chỉ  email""",,,,,0|i001pz:,,,,,,,,,,Pass,Integration,"-Emails must not include trailing spaces
-Emails must not have leading spaces",,,To Do
EA31 - Verify password field - The password entered must have a capital character,N2-46,10281,Bug,Open,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:36 AM,05/Jan/23 2:58 PM,05/Jan/23 2:57 PM,,,0,EditAccount,,"If the password entered must not contain a capital letter, an error message will be displayed

test data:”

ccccc2334!!!!!

”",,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"no error message is displayed ""mật khẩu phải có ít nhất một ký tự in Hoa""",,,,,,,,,,N2-3,Edit account,,,"show an error ""mật khẩu phải có ít nhất một ký tự in Hoa""",,,,,0|i001pr:,,,,,,,,,,Fail,Unit,"1)enter a password without a capital letter
2)click button('xác nhận )",,,To Do
AL30- Verify password field- The password entered must have a capital character,N2-45,10280,Bug,Open,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:35 AM,05/Jan/23 2:57 PM,05/Jan/23 2:57 PM,,,0,AccountLogin,,"If the password entered must not contain a capital letter, an error message will be displayed

test data:”

ccccc2334!!!!!

”",,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"no error message is displayed ""mật khẩu phải có ít nhất một ký tự in Hoa""",,,,,,,,,,N2-2,Account login,,,"show an error ""mật khẩu phải có ít nhất một ký tự in Hoa""",,,,,0|i001pj:,,,,,,,,,,Fail,Unit,"1)enter a password without a capital letter
2)click button('xác nhận )",,,To Do
RA29- Verify password field - The password entered must have a capital character,N2-44,10279,Bug,Open,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:34 AM,05/Jan/23 2:57 PM,05/Jan/23 2:56 PM,,,0,RegisterAnAccount,,"If the password entered must not contain a capital letter, an error message will be displayed

test data:”

ccccc2334!!!!!

”",,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"no error message is displayed ""mật khẩu phải có ít nhất một ký tự in Hoa""",,,,,,,,,,N2-1,Register an account,,,"show an error ""mật khẩu phải có ít nhất một ký tự in Hoa""",,,,,0|i001pb:,,N2 Sprint 1,,,,,,,,Fail,Unit,"1)enter a password without a capital letter
2)click button",,,To Do
